,Price,SqFt,Offers,Brick_Yes,Neighborhood_North,Neighborhood_West,Bathrooms_3,Bathrooms_4,Bedrooms_3,Bedrooms_4,Bedrooms_5,lg_price
Price,1.0,0.5529822425554838,-0.3136358828617982,0.4528167861905481,-0.5482210753954891,0.7140066048870107,0.46023886674611325,0.2290127330364184,-0.18383063754973572,0.48206956154070585,0.184167669141314,0.9908675535816746
SqFt,0.5529822425554838,1.0,0.3369233519218925,0.0797921585608036,-0.2888859940279243,0.25075920981086625,0.49787562326979834,0.12171215203518733,-0.03212488071154476,0.3615654191285934,0.16981954683939515,0.5565720680528615
Offers,-0.3136358828617982,0.3369233519218925,1.0,-0.1449860566168753,0.3329866090837305,-0.3274252062467597,0.19562646079835883,-0.13147197197842636,0.2241846683969915,-0.030936808640066333,-0.009240881334974681,-0.3263318270140007
Brick_Yes,0.4528167861905481,0.0797921585608036,-0.1449860566168753,1.0,-0.2605536109272983,0.11579309949164264,0.1328721221112891,0.1269763152202868,-0.032793997214325646,-0.02049526171714989,0.1802828046285801,0.4421633488920491
Neighborhood_North,-0.5482210753954891,-0.2888859940279243,0.3329866090837305,-0.2605536109272983,1.0,-0.47909760011232244,-0.2627070673993728,-0.06422214913443079,0.06483839273119223,-0.3131248925918826,-0.0911835340720322,-0.5599562619773653
Neighborhood_West,0.7140066048870107,0.25075920981086625,-0.3274252062467597,0.11579309949164264,-0.47909760011232244,1.0,0.24831882952950665,0.1340481545292111,-0.18399397793495328,0.49322457752518856,0.05346165846253421,0.6894215534046682
Bathrooms_3,0.46023886674611325,0.49787562326979834,0.19562646079835883,0.1328721221112891,-0.2627070673993728,0.24831882952950665,1.0,-0.0770225786271785,0.06986205267582596,0.24652790605438454,0.0178949075853437,0.4573822254587415
Bathrooms_4,0.2290127330364184,0.12171215203518733,-0.13147197197842636,0.1269763152202868,-0.06422214913443079,0.1340481545292111,-0.0770225786271785,1.0,-0.09299736071683372,-0.04802634553643431,0.7043173944508144,0.19296573579820694
Bedrooms_3,-0.18383063754973572,-0.03212488071154476,0.2241846683969915,-0.032793997214325646,0.06483839273119223,-0.18399397793495328,0.06986205267582596,-0.09299736071683372,1.0,-0.567223069229911,-0.13203899470543054,-0.1691539746198134
Bedrooms_4,0.48206956154070585,0.3615654191285934,-0.030936808640066333,-0.02049526171714989,-0.3131248925918826,0.49322457752518856,0.24652790605438454,-0.04802634553643431,-0.567223069229911,1.0,-0.06818849841680034,0.4667966754735968
Bedrooms_5,0.184167669141314,0.16981954683939515,-0.009240881334974681,0.1802828046285801,-0.0911835340720322,0.05346165846253421,0.0178949075853437,0.7043173944508144,-0.13203899470543054,-0.06818849841680034,1.0,0.16429100639147412
lg_price,0.9908675535816746,0.5565720680528615,-0.3263318270140007,0.4421633488920491,-0.5599562619773653,0.6894215534046682,0.4573822254587415,0.19296573579820694,-0.1691539746198134,0.4667966754735968,0.16429100639147412,1.0
